Timestamp,instructions,cpu-cycles,branch-misses,L1-dcache-load-misses,l2_rqsts.miss,LLC-load-misses
     0.129160100,1008418979,1164220723,5848899,16424458,13222747,502512
     0.249419593,2603570643,3291157262,6737691,63855186,14640888,1063868
     0.369729337,3086671561,3281032530,7821294,90186043,45701964,694563
     0.490086181,3275732010,3189182512,4062808,59111553,44009082,228844
     0.610453914,2964010501,3030188122,2036918,37694345,13345558,260509
     0.730823748,3073989951,3099574760,1507981,27296076,4408880,110849
     0.851146219,3257892551,3031412830,1934058,37282395,879837,15083
     0.971541503,3568319024,2881368822,2347793,49493013,15887915,149682
     1.091923155,3269372008,3068381271,1603736,38830994,4932668,63332
     1.212300002,3373827417,3007178657,2403876,54994952,23760690,199736
     1.332697763,3049990259,2876329662,2084501,48293161,27798330,222179
     1.453086655,3108197977,3061820238,1576962,30867778,8728886,211226
     1.573432599,3048197272,2994789855,1625255,33559983,2094358,22023
     1.693862090,3429719328,2855183250,2152810,43851905,8322390,97350
     1.814294248,3373623037,2976798539,2174596,50461300,14716095,134114
     1.934702597,3335773969,3028905507,1777425,42793314,10691091,121288
     2.055094738,3150633148,2998152699,1628621,36997690,17170658,210476
     2.175473197,3107081378,3022778383,1489513,31237980,8243515,107359
     2.295840454,3177219885,2977015254,1617385,30813345,6093142,36166
     2.416217363,3178493960,2878024004,1815037,37483022,12696855,127975
     2.536656419,3192997779,2985420111,1609141,34080510,6269328,26941
     2.657048348,3383652500,2864329850,1884944,41076967,18170211,261456
     2.777408733,3080369108,2965968011,1345965,22651215,545347,23595
     2.897807882,3343231118,2912435840,2494182,54256033,24828089,112878
     3.018194265,2697453124,2760117915,1758110,32545957,16293776,229050
     3.141658654,3044377672,2939354541,1912557,33123608,2935616,163825
     3.262017342,3264097737,2281967226,2295356,25219565,3882903,394534
     3.382282092,2463575156,1611092086,2547286,18285924,6282389,699614
     3.442130883,409980014,288776247,1147900,5129608,4045861,348161
